-1.213457,3.322800,9.278655
-1.096588,3.476735,9.282002
-1.170000,3.551294,9.049149
-1.030714,3.648172,9.085885
-0.978441,3.593736,9.171884
-0.949765,3.373500,9.108797
-1.055294,3.249617,9.338203
-1.174457,3.063172,9.401230
-0.985324,3.154412,9.283150
-0.828176,3.178501,9.262502
-0.956647,3.380382,9.275121
-0.693086,3.318343,9.172802
-0.641206,3.482472,9.303796
-0.275294,3.545558,9.286585
-0.297514,3.518915,9.724373
-1.126411,3.105088,9.697233
-0.916500,3.340235,9.387527
-0.612529,3.178499,9.567616
-0.639600,3.248143,9.231857
-0.677912,3.094766,9.365738
-0.415235,2.629059,9.333615
0.159441,2.436354,9.473557
1.133229,2.224114,9.473658
1.717147,2.388176,9.483883
1.849059,2.390471,9.605471
1.484228,2.225228,9.477004
1.360412,2.350324,9.563027
2.141559,2.407676,9.306087
2.108294,2.626764,9.177619
1.752771,2.597400,9.305398
1.434971,2.442088,9.245292
1.648323,2.732294,9.260207
2.000471,2.537294,9.131736
1.912114,2.341115,9.312087
1.872000,1.844470,9.502235
2.571707,2.234471,9.518293
2.691000,2.445857,10.501027
2.523530,2.651999,11.913359
1.936235,2.197765,11.187265
-1.078235,1.389088,10.120501
-2.367858,2.506028,10.122171
-0.738706,3.454941,9.809649
-0.604500,3.872471,8.950500
-1.266943,4.983087,7.973827
-0.799500,5.330383,7.232206
-0.423265,5.261558,6.894970
-1.187206,5.209943,5.813293
-0.764400,6.037199,5.300658
-0.799500,5.722676,5.973882
-0.464559,6.181500,7.412292
-0.373941,6.929382,9.823415
-1.916571,6.822772,9.776742
-2.766706,6.305382,8.732560
-0.755912,6.626558,8.943616
0.295941,4.546942,8.929852
-0.271886,2.409086,8.616774
0.402618,2.280353,9.485031
0.440471,2.598088,9.087002
1.098882,2.265441,9.265942
1.390629,1.968943,9.158316
1.882323,1.837588,9.177617
2.044059,1.872000,9.230382
2.062412,1.863970,9.234970
2.171743,1.989000,9.157198
1.686177,1.870853,10.057411
1.594411,2.177118,10.675675
2.440286,2.746714,10.067571
3.085589,2.301000,10.547206
1.131000,0.532552,11.584347
-2.235618,2.361794,10.991118
-0.201686,3.874371,10.898828
0.263824,3.410206,9.354265
-0.032118,3.480176,6.812382
-0.273000,4.283314,6.305745
-1.086265,4.575618,6.604763
-0.937147,4.849763,6.877762
-0.519257,4.829314,8.021745
-0.137647,5.357913,10.013825
-0.638912,7.894061,10.533441
-1.060800,7.030029,6.301286
-0.924529,6.978708,9.436852
-1.212441,5.222558,9.068648
1.343828,2.236372,8.273571
0.563206,2.532706,9.262500
